1. Round,,,,
20/08/2010,,,,
14:30,VfL Wolfsburg,-0,Borussia Dortmund,0:3 (0:2)
14:30,1. FC Nürnberg,-0,Hamburger SV,2:0 (0:0)
14:30,FC Schalke 04,-0,1899 Hoffenheim,0:1 (0:1)
14:30,FC St. Pauli,-0,1. FC Köln,3:0 (2:0)
17:30,1. FC Kaiserslautern,-0,1. FSV Mainz 05,0:1 (0:1)
30/01/2011,,,,
14:30,VfB Stuttgart,-0,SC Freiburg,0:1 (0:1)
16:30,Eintracht Frankfurt,-0,Bor. Mönchengladbach,0:1 (0:0)
21. Round,,,,
04/02/2011,,,,
19:30,Borussia Dortmund,-0,FC Schalke 04,0:0 (0:0)
05/02/2011,,,,
14:30,1. FC Köln,-0,Bayern München,3:2 (0:2)
14:30,1. FSV Mainz 05,-0,Werder Bremen,1:1 (1:0)
14:30,1. FC Nürnberg,-0,Bayer Leverkusen,1:0 (0:0)
14:30,Hannover 96,-0,VfL Wolfsburg,1:0 (1:0)
14:30,1899 Hoffenheim,-0,1. FC Kaiserslautern,3:2 (2:0)
17:30,Bor. Mönchengladbach,-0,VfB Stuttgart,2:3 (2:0)
06/02/2011,,,,
16:30,SC Freiburg,-0,Eintracht Frankfurt,0:0 (0:0)
16/02/2011,,,,
17:45,Hamburger SV,-0,FC St. Pauli,0:1 (0:0)
22. Round,,,,
12/02/2011,,,,
14:30,Eintracht Frankfurt,-0,Bayer Leverkusen,0:3 (0:2)
14:30,VfL Wolfsburg,-0,Hamburger SV,0:1 (0:1)
14:30,Bayern München,-0,1899 Hoffenheim,4:0 (2:0)
14:30,FC St. Pauli,-0,Bor. Mönchengladbach,3:1 (1:1)
14:30,FC Schalke 04,-0,SC Freiburg,1:0 (0:0)
14:30,VfB Stuttgart,-0,1. FC Nürnberg,1:4 (1:2)
17:30,1. FC Kaiserslautern,-0,Borussia Dortmund,1:1 (0:0)
13/02/2011,,,,
14:30,1. FC Köln,-0,1. FSV Mainz 05,4:2 (2:1)
16:30,Werder Bremen,-0,Hannover 96,1:1 (0:1)
23. Round,,,,
18/02/2011,,,,
19:45,1. FC Nürnberg,-0,Eintracht Frankfurt,3:0 (0:0)
19/02/2011,,,,
14:30,Hamburger SV,-0,Werder Bremen,4:0 (1:0)
14:30,SC Freiburg,-0,VfL Wolfsburg,2:1 (1:1)
14:30,1899 Hoffenheim,-0,1. FC Köln,1:1 (0:0)
14:30,Hannover 96,-0,1. FC Kaiserslautern,3:0 (2:0)
14:30,Borussia Dortmund,-0,FC St. Pauli,2:0 (1:0)
17:30,1. FSV Mainz 05,-0,Bayern München,1:3 (0:1)
20/02/2011,,,,
14:30,Bayer Leverkusen,-0,VfB Stuttgart,4:2 (2:1)
16:30,Bor. Mönchengladbach,-0,FC Schalke 04,2:1 (2:1)
24. Round,,,,
25/02/2011,,,,
19:30,VfL Wolfsburg,-0,Bor. Mönchengladbach,2:1 (2:0)
26/02/2011,,,,
14:30,1. FC Kaiserslautern,-0,Hamburger SV,1:1 (1:0)
14:30,1899 Hoffenheim,-0,1. FSV Mainz 05,1:2 (0:1)
14:30,1. FC Köln,-0,SC Freiburg,1:0 (0:0)
14:30,FC St. Pauli,-0,Hannover 96,0:1 (0:0)
14:30,FC Schalke 04,-0,1. FC Nürnberg,1:1 (0:1)
17:30,Bayern München,-0,Borussia Dortmund,1:3 (1:2)
27/02/2011,,,,
14:30,Eintracht Frankfurt,-0,VfB Stuttgart,0:2 (0:0)
16:30,Werder Bremen,-0,Bayer Leverkusen,2:2 (0:1)
25. Round,,,,
04/03/2011,,,,
19:30,Borussia Dortmund,-0,1. FC Köln,1:0 (1:0)
05/03/2011,,,,
14:30,Hannover 96,-0,Bayern München,3:1 (1:0)
14:30,VfB Stuttgart,-0,FC Schalke 04,1:0 (1:0)
14:30,Bor. Mönchengladbach,-0,1899 Hoffenheim,2:0 (0:0)
14:30,1. FC Nürnberg,-0,FC St. Pauli,5:0 (3:0)
14:45,Eintracht Frankfurt,-0,1. FC Kaiserslautern,0:0 (0:0)
17:30,Bayer Leverkusen,-0,VfL Wolfsburg,3:0 (3:0)
06/03/2011,,,,
14:30,SC Freiburg,-0,Werder Bremen,1:3 (0:1)
16:30,Hamburger SV,-0,1. FSV Mainz 05,2:4 (1:0)
26. Round,,,,
11/03/2011,,,,
19:30,1. FC Köln,-0,Hannover 96,4:0 (1:0)
12/03/2011,,,,
14:30,1899 Hoffenheim,-0,Borussia Dortmund,1:0 (0:0)
14:30,Bayern München,-0,Hamburger SV,6:0 (1:0)
14:30,FC Schalke 04,-0,Eintracht Frankfurt,2:1 (1:0)
14:30,1. FC Kaiserslautern,-0,SC Freiburg,2:1 (1:1)
14:30,VfL Wolfsburg,-0,1. FC Nürnberg,1:2 (1:1)
17:30,Werder Bremen,-0,Bor. Mönchengladbach,1:1 (1:0)
13/03/2011,,,,
14:30,1. FSV Mainz 05,-0,Bayer Leverkusen,0:1 (0:0)
16:30,FC St. Pauli,-0,VfB Stuttgart,1:2 (1:1)
27. Round,,,,
18/03/2011,,,,
19:30,Bor. Mönchengladbach,-0,1. FC Kaiserslautern,0:1 (0:0)
19/03/2011,,,,
14:30,SC Freiburg,-0,Bayern München,1:2 (1:1)
14:30,1. FC Nürnberg,-0,Werder Bremen,1:3 (1:1)
14:30,Hannover 96,-0,1899 Hoffenheim,2:0 (1:0)
14:30,Hamburger SV,-0,1. FC Köln,6:2 (4:0)
14:30,Eintracht Frankfurt,-0,FC St. Pauli,2:1 (1:1)
17:30,Borussia Dortmund,-0,1. FSV Mainz 05,1:1 (1:0)
20/03/2011,,,,
14:30,Bayer Leverkusen,-0,FC Schalke 04,2:0 (2:0)
16:30,VfB Stuttgart,-0,VfL Wolfsburg,1:1 (0:1)
28. Round,,,,
01/04/2011,,,,
19:30,FC St. Pauli,-0,FC Schalke 04,0:2 (0:1)
02/04/2011,,,,
14:30,1. FC Kaiserslautern,-0,Bayer Leverkusen,0:1 (0:0)
14:30,Werder Bremen,-0,VfB Stuttgart,1:1 (1:1)
14:30,Bayern München,-0,Bor. Mönchengladbach,1:0 (0:0)
14:30,1. FSV Mainz 05,-0,SC Freiburg,1:1 (0:1)
14:30,Borussia Dortmund,-0,Hannover 96,4:1 (0:0)
17:30,1899 Hoffenheim,-0,Hamburger SV,0:0 (0:0)
03/04/2011,,,,
14:30,1. FC Köln,-0,1. FC Nürnberg,1:0 (0:0)
16:30,VfL Wolfsburg,-0,Eintracht Frankfurt,1:1 (0:0)
29. Round,,,,
08/04/2011,,,,
19:30,Eintracht Frankfurt,-0,Werder Bremen,1:1 (0:0)
09/04/2011,,,,
14:30,1. FC Nürnberg,-0,Bayern München,1:1 (0:1)
14:30,Hamburger SV,-0,Borussia Dortmund,1:1 (1:0)
14:30,FC Schalke 04,-0,VfL Wolfsburg,1:0 (0:0)
14:30,Hannover 96,-0,1. FSV Mainz 05,2:0 (1:0)
14:30,SC Freiburg,-0,1899 Hoffenheim,3:2 (1:2)
17:30,VfB Stuttgart,-0,1. FC Kaiserslautern,2:4 (2:1)
10/04/2011,,,,
14:30,Bor. Mönchengladbach,-0,1. FC Köln,5:1 (3:0)
16:30,Bayer Leverkusen,-0,FC St. Pauli,2:1 (0:0)
30. Round,,,,
15/04/2011,,,,
19:30,1. FSV Mainz 05,-0,Bor. Mönchengladbach,1:0 (0:0)
16/04/2011,,,,
14:30,1. FC Köln,-0,VfB Stuttgart,1:3 (0:0)
14:30,1899 Hoffenheim,-0,Eintracht Frankfurt,1:0 (0:0)
14:30,Hamburger SV,-0,Hannover 96,0:0 (0:0)
14:30,1. FC Kaiserslautern,-0,1. FC Nürnberg,0:2 (0:1)
14:30,VfL Wolfsburg,-0,FC St. Pauli,2:2 (1:0)
17:30,Werder Bremen,-0,FC Schalke 04,1:1 (0:0)
17/04/2011,,,,
14:30,Bayern München,-0,Bayer Leverkusen,5:1 (4:0)
16:30,Borussia Dortmund,-0,SC Freiburg,3:0 (2:0)
31. Round,,,,
21/04/2011,,,,
19:30,SC Freiburg,-0,Hannover 96,1:3 (0:2)
23/04/2011,,,,
14:30,Eintracht Frankfurt,-0,Bayern München,1:1 (0:0)
14:30,FC St. Pauli,-0,Werder Bremen,1:3 (1:0)
14:30,VfB Stuttgart,-0,Hamburger SV,3:0 (1:0)
14:30,Bayer Leverkusen,-0,1899 Hoffenheim,2:1 (1:1)
14:30,FC Schalke 04,-0,1. FC Kaiserslautern,0:1 (0:1)
17:30,Bor. Mönchengladbach,-0,Borussia Dortmund,1:0 (1:0)
24/04/2011,,,,
14:30,VfL Wolfsburg,-0,1. FC Köln,4:1 (2:1)
16:30,1. FC Nürnberg,-0,1. FSV Mainz 05,0:0 (0:0)
32. Round,,,,
29/04/2011,,,,
19:30,Werder Bremen,-0,VfL Wolfsburg,0:1 (0:1)
19:30,1. FC Kaiserslautern,-0,FC St. Pauli,2:0 (1:0)
30/04/2011,,,,
14:30,1. FC Köln,-0,Bayer Leverkusen,2:0 (0:0)
14:30,1899 Hoffenheim,-0,VfB Stuttgart,1:2 (1:0)
14:30,1. FSV Mainz 05,-0,Eintracht Frankfurt,3:0 (3:0)
14:30,Hannover 96,-0,Bor. Mönchengladbach,0:1 (0:0)
14:30,Hamburger SV,-0,SC Freiburg,0:2 (0:1)
14:30,Borussia Dortmund,-0,1. FC Nürnberg,2:0 (2:0)
